;X;Y
0;8.35;10.93
1;8.43;10.75
2;8.18;9.98
3;7.87;9.36
4;8.47;9.23
5;7.85;8.99
6;7.8;10.21
7;7.79;9.81
8;8.23;8.7
9;7.63;9.02
10;8.25;8.48
11;7.56;9.84
12;7.55;8.34
13;7.54;9.61
14;7.36;8.32
15;7.34;8.81
16;7.28;9.42
17;6.6;9.96
18;7.42;10.88
19;6.56;8.28
20;6.54;8.21
21;6.52;8.21
22;6.38;7.97
23;7.54;7.37
24;6.31;7.82
25;6.23;7.15
26;6.31;7.09
27;6.21;7.81
28;6.12;7.05
29;6.03;6.81
30;6.81;8.56
31;6.39;6.54
32;5.99;6.4
33;5.92;6.27
34;5.76;7.89
35;5.72;9.9
36;5.64;6.48
37;8.13;10.34
38;10.41;7.92
39;6.41;10.79
40;6.21;9.24
41;6.95;6.26
42;8.32;9.61
43;8.32;7.02
44;5.47;8.42
45;5.26;8.08
46;7.03;8.8
47;5.25;7.66
48;8.72;5.95
49;5.19;5.88
50;5.17;8.78
51;5.18;7.35
52;5.14;5.87
53;8.53;8.45
54;6.11;10.58
55;5.67;6.33
56;5.04;5.81
57;6.05;7.84
58;9.88;5.51
59;7.15;7.83
60;8.69;10.2
61;7.47;9.89
62;8.26;7.74
63;6.38;8.41
64;7.61;8.8
65;6.2;8.16
66;5.24;9.49
67;4.73;5.31
68;7.29;9.19
69;5.0;10.02
70;4.73;8.51
71;4.72;5.29
72;7.72;6.8
73;4.56;5.22
74;6.62;9.96
75;4.49;9.66
76;6.44;9.07
77;9.76;8.0
78;4.49;5.16
79;5.85;8.4
80;7.54;9.97
81;6.13;6.88
82;4.4;6.74
83;6.81;10.28
84;7.18;4.24
85;6.44;7.37
86;7.27;7.02
87;6.64;9.93
88;6.59;8.29
89;4.29;4.71
90;7.6;10.43
91;4.21;9.48
92;6.19;7.09
93;3.96;8.48
94;7.11;7.06
95;3.91;8.1
96;6.41;9.23
97;5.49;9.01
98;3.09;8.18
99;5.86;9.78
