,X,Y
0,9.43,15.49
1,8.63,14.93
2,8.5,14.51
3,10.31,14.26
4,8.42,13.94
5,8.33,12.97
6,10.16,15.87
7,8.26,12.21
8,8.02,12.2
9,7.74,13.05
10,7.89,10.79
11,7.39,10.68
12,12.31,10.51
13,7.12,10.67
14,7.2,10.2
15,7.62,10.0
16,7.01,9.99
17,6.91,14.88
18,6.66,11.63
19,6.56,13.39
20,6.31,9.95
21,6.09,9.82
22,7.72,10.92
23,8.35,9.71
24,6.05,16.41
25,9.14,9.67
26,6.02,9.63
27,5.84,9.49
28,8.89,9.2
29,5.77,11.51
30,5.75,14.17
31,7.04,11.96
32,5.62,10.22
33,9.55,9.04
34,5.27,10.25
35,5.05,9.02
36,5.03,12.08
37,4.96,10.45
38,4.85,8.8
39,4.59,8.72
40,4.52,10.47
41,8.73,11.94
42,5.4,11.2
43,5.83,15.21
44,5.24,8.36
45,4.16,9.29
46,9.2,12.26
47,4.05,11.46
48,4.04,8.1
49,6.5,7.88
50,6.76,7.76
51,11.7,11.3
52,4.0,15.4
53,4.17,8.37
54,3.93,12.21
55,3.91,12.11
56,7.85,7.74
57,3.73,10.47
58,3.73,12.22
59,6.36,9.79
60,3.65,11.77
61,5.07,7.64
62,6.22,13.43
63,4.57,10.65
64,3.62,10.95
65,7.85,12.83
66,3.48,9.92
67,3.33,9.59
68,5.0,10.8
69,5.78,10.69
70,8.55,9.76
71,4.16,7.53
72,3.21,7.05
73,6.76,11.62
74,9.25,6.99
75,3.41,10.26
76,5.92,6.89
77,3.01,13.25
78,4.88,16.19
79,10.57,12.27
80,5.25,5.29
81,2.96,10.39
82,5.67,10.18
83,3.76,12.42
84,4.15,10.77
85,2.75,8.89
86,3.1,8.2
87,9.04,10.85
88,0.86,4.73
89,7.46,12.05
90,5.54,10.1
91,5.46,9.53
92,8.49,11.53
93,4.69,13.06
94,6.54,12.62
95,3.47,10.14
96,6.18,10.92
97,6.43,11.6
98,0.37,11.5
99,3.63,14.65
