,X,Y
0,23.36,16.31
1,22.6,14.48
2,19.84,11.99
3,19.66,11.77
4,20.9,10.37
5,19.35,9.27
6,18.87,12.05
7,18.02,9.24
8,17.17,9.16
9,17.04,9.07
10,16.94,9.04
11,16.9,8.95
12,19.94,11.44
13,16.89,8.32
14,16.7,8.55
15,15.79,7.78
16,14.7,7.78
17,14.56,10.94
18,14.1,14.46
19,15.63,7.74
20,13.8,7.65
21,13.41,7.23
22,13.41,7.12
23,13.31,14.73
24,13.3,6.9
25,12.93,6.69
26,12.89,6.56
27,12.47,6.01
28,15.46,8.95
29,12.47,11.99
30,12.16,5.98
31,12.02,17.87
32,13.31,10.97
33,20.76,13.47
34,11.5,12.63
35,16.57,5.42
36,22.52,6.9
37,21.37,6.75
38,11.47,4.87
39,14.04,9.35
40,10.66,7.45
41,16.29,4.57
42,10.21,3.71
43,19.23,3.66
44,10.05,10.79
45,12.46,8.81
46,14.4,9.27
47,11.06,3.39
48,13.81,3.38
49,18.25,7.76
50,15.87,12.57
51,9.86,5.3
52,22.47,3.29
53,9.17,2.56
54,17.59,1.79
55,9.15,10.62
56,8.48,2.47
57,8.31,8.5
58,9.62,21.16
59,17.39,11.14
60,13.26,13.18
61,12.21,8.8
62,13.78,5.99
63,15.83,2.82
64,13.81,6.44
65,8.08,11.51
66,19.59,1.76
67,13.89,1.71
68,12.36,8.87
69,7.96,8.35
70,7.91,1.48
71,13.72,15.95
72,9.48,5.21
73,14.98,0.98
74,14.61,8.98
75,7.81,0.77
76,10.45,5.0
77,8.13,12.01
78,12.17,16.05
79,6.94,6.45
80,15.25,7.29
81,17.61,9.66
82,6.66,8.22
83,13.83,1.26
84,9.17,3.11
85,12.52,6.51
86,13.83,0.58
87,4.26,-0.37
88,14.25,5.19
89,16.09,4.54
90,14.32,12.01
91,13.23,-0.48
92,15.94,5.28
93,12.47,3.44
94,22.56,-1.05
95,-0.06,0.88
96,11.5,4.07
97,10.27,-2.35
98,15.22,8.48
99,-0.32,9.53
